creativeID,adID,camgaignID,advertiserID,appID,appPlatform
1128,3089,426,81,109,2
3845,2977,217,44,421,1
25922,30331,3091,231,382,1
42514,27342,1222,477,382,1
16853,22332,4094,123,57,2
16814,11943,5780,467,156,2
19749,3806,6696,643,365,1
26676,26628,803,316,374,1
11455,31102,5088,40,134,2
18489,16664,4390,588,9,2
49144,26123,3871,345,372,1
49771,18326,2370,244,454,1
40129,9598,4944,175,401,1
2094,1076,26,15,383,1
41457,23406,4613,649,441,1
18606,26034,2674,582,471,1
28435,23260,1612,557,371,1
47478,23944,5885,624,471,1
51229,10190,3646,223,361,1
43057,6199,5068,316,374,1
5687,677,643,3,465,1
28661,14465,3668,385,440,1
40661,5553,6606,383,359,1
14374,21001,1233,190,395,1
50511,26185,3248,104,386,1
20829,13891,6241,68,152,2
18009,4233,4709,651,395,1
41240,13199,4678,103,369,1
24424,12134,1182,169,9,2
26593,7450,6556,453,382,1
26265,3938,4186,376,18,2
51508,9964,4424,249,10,2
37116,18334,5287,143,395,1
46460,24983,5501,93,376,1
38275,21425,4548,487,357,1
14488,22501,2123,649,441,1
6,3123,139,10,434,1
14909,28679,2328,310,212,2
44935,11845,849,424,395,1
51137,12025,5980,657,69,2
13621,20761,2370,244,454,1
42245,5952,6793,93,376,1
34701,28199,6574,646,377,1
42063,12703,2431,183,230,2
11649,5408,5422,159,39,2
4740,74,139,10,434,1
3497,369,144,84,360,1
12310,3989,1438,93,376,1
32081,28645,5903,392,438,1
15152,21251,5460,422,126,2
48458,14270,6208,376,18,2
9706,10734,4228,244,412,1
50906,18772,3982,93,4,2
23426,27524,3972,388,378,1
7543,27686,5980,657,69,2
27193,24183,3186,645,172,2
36051,29545,854,102,359,1
5739,3428,456,73,278,2
49638,10811,2741,649,441,1
1602,2705,20,85,293,2
17725,10901,6160,366,388,1
7382,12321,3055,102,359,1
20458,27527,2319,561,395,1
5220,228,225,63,360,1
18020,10300,2401,649,441,1
46969,8011,3907,577,306,2
22819,26801,3134,135,3,2
40569,14404,3079,643,365,1
14663,21708,6014,126,213,2
9638,28525,1936,231,382,1
36346,18933,2748,329,282,2
33747,14467,2428,231,382,1
42361,23934,6930,582,471,1
36971,27062,3451,453,382,1
29019,13117,1642,607,395,1
34447,27825,1739,554,403,1
7588,14531,4053,453,382,1
31921,11457,1483,93,376,1
26920,15932,6793,93,376,1
11903,16411,5068,316,374,1
32469,25667,3148,172,424,1
12231,26060,4503,165,478,1
3738,3245,139,10,434,1
8133,11603,1351,339,368,1
10418,21336,6866,200,259,2
15784,31081,5835,244,411,1
32853,24620,6793,93,376,1
29908,5057,2958,439,357,1
34534,10896,775,639,357,1
20651,11904,6316,316,374,1
9192,21448,5336,618,53,2
19642,26869,1106,345,372,1
45361,26725,1925,231,382,1
9279,27932,1686,156,382,1
26073,10550,3926,143,395,1
9690,25466,4491,554,403,1
45971,26828,3852,642,357,1
12487,14341,6494,588,9,2
33753,18789,6755,123,282,2
50538,14063,4678,103,369,1
24372,25981,3044,358,212,2
31474,19623,5648,649,441,1
28145,7091,4792,395,177,2
21889,24222,5873,337,379,1
153,3058,139,10,434,1
12531,30328,5238,222,163,2
50868,13156,4159,117,374,1
46714,3706,5292,95,22,2
39775,4010,2748,329,282,2
20474,14387,899,330,7,2
32410,4291,2262,225,57,2
28901,23666,879,563,407,1
37613,15589,4455,251,93,2
13748,21426,1593,201,260,2
47322,13768,6252,175,401,1
16448,16401,3657,123,282,2
7901,30349,5396,645,151,2
28253,22164,4539,501,142,2
23080,23207,4427,657,69,2
2572,9,218,80,14,2
16929,22634,2595,576,464,1
10780,7895,958,576,397,1
462,2840,558,69,428,1
42673,11081,1347,398,94,2
9884,25271,1575,117,374,1
8420,20136,3716,152,128,2
41284,10076,4460,479,423,1
10409,21597,5351,307,15,2
37925,31236,3360,76,261,2
19659,13227,5698,152,128,2
31703,24594,1125,123,57,2
13323,28999,6240,645,172,2
10073,8982,3027,130,174,2
34659,15050,1092,405,10,2
13968,27265,6015,464,204,2
29214,9232,1639,197,305,2
12632,20000,2877,136,471,1
14282,21848,2233,345,372,1
3012,1576,139,10,434,1
37723,9622,5547,123,57,2
28805,9307,872,184,10,2
12709,25773,4188,138,368,1
4322,3127,700,5,293,2
25549,19044,740,85,295,2
16531,12117,3435,165,478,1
24803,21558,3729,656,143,2
7004,19591,2869,328,372,1
19198,14496,2340,330,7,2
29942,23634,3242,99,108,2
20029,23106,5102,541,19,2
51158,9128,868,112,185,2
47273,8339,6939,624,467,1
32610,6229,4765,135,3,2
19211,24088,4533,546,270,2
425,1211,139,10,434,1
43398,28643,2671,131,374,1
22162,4778,6235,500,112,2
30819,5189,4200,398,94,2
37618,20890,2581,93,4,2
18670,25710,4247,57,337,2
12946,17885,5835,244,411,1
43810,27903,3970,93,4,2
32593,13072,1367,122,188,2
15148,21554,2028,576,342,2
14079,11247,5297,422,126,2
51609,27387,3986,123,282,2
14037,29484,2528,123,57,2
33276,10819,4943,565,375,1
46656,9566,2358,57,397,1
26652,15315,4166,136,471,1
44059,26323,4519,215,365,1
11575,8705,5534,576,342,2
7974,16898,3285,69,139,2
41169,14838,3536,570,457,1
21338,17549,6646,554,403,1
11983,11660,6054,576,423,1
20720,7503,5534,576,342,2
48714,24126,4390,588,9,2
39123,12717,6914,496,141,2
28170,9573,5367,188,279,2
14894,18711,4933,546,270,2
12320,29101,6730,69,139,2
16882,7726,4791,352,34,2
43965,23393,4690,250,332,2
2464,397,165,74,100,2
33414,13897,1120,569,79,2
7899,17400,6582,316,374,1
19624,21726,1514,622,433,1
36781,26362,1667,554,403,1
5024,831,562,3,465,1
8040,22085,4533,546,270,2
23565,21113,6385,310,212,2
19501,11542,1299,140,63,2
15510,28632,5835,244,411,1
36361,19958,5325,629,347,2
47481,27657,4912,453,382,1
5696,332,546,20,336,2
51519,4642,4024,76,261,2
14348,8829,2219,329,57,2
40026,6428,2543,169,9,2
210,3218,514,80,14,2
15411,4772,3634,123,57,2
23637,28212,1007,27,269,2
37848,9268,3903,375,357,1
5215,2549,73,54,389,1
13949,12589,5380,324,7,2
14817,19991,5585,141,417,1
30180,10913,2710,639,357,1
31900,5426,1214,348,32,2
40946,5304,2799,313,110,2
11710,31124,806,284,64,2
35785,13322,4663,20,219,2
45080,17876,5835,244,411,1
4317,1812,139,10,434,1
2521,745,654,54,389,1
42223,26632,755,649,441,1
35913,28523,1287,477,382,1
20217,30547,6881,121,21,2
20693,12481,6784,640,395,1
32766,22794,5384,479,464,1
36069,9948,6656,231,382,1
48912,12287,3219,570,457,1
12597,21026,3908,579,268,2
45307,13418,4861,577,306,2
14692,11379,2020,243,393,1
35628,21646,4228,244,412,1
46893,28755,6412,20,219,2
25177,26475,4228,244,412,1
48315,26808,6431,438,445,1
31562,28029,2032,311,12,2
41411,14715,4427,657,69,2
39492,25104,4228,244,412,1
42843,25378,2322,69,139,2
26836,20685,6893,642,357,1
25112,9162,5692,108,39,2
13126,23400,4228,244,412,1
21830,8484,3314,345,372,1
17274,20925,5371,345,372,1
8847,27065,2706,657,69,2
38320,12342,3930,140,380,1
25832,8869,5196,570,457,1
5594,3593,632,3,465,1
2671,2703,468,89,420,1
31078,9073,92,57,397,1
12431,10660,841,131,374,1
36401,22177,5060,57,397,1
17002,29124,6308,453,382,1
31614,31460,4228,244,412,1
23128,12123,4491,554,403,1
22576,28610,2370,244,454,1
50650,11338,4198,477,382,1
21971,5503,3315,249,10,2
25535,10938,1447,345,372,1
30212,20100,5835,244,411,1
23356,7866,6112,576,397,1
51391,31099,4943,565,375,1
17484,9514,6234,494,382,1
37645,20310,1730,494,382,1
48920,21432,5488,484,395,1
41334,17113,6494,588,9,2
7289,4267,6494,588,9,2
421,1248,139,10,434,1
393,2627,715,80,14,2
5309,1445,112,54,389,1
24617,21835,960,642,357,1
22041,30320,5835,244,411,1
12754,20950,1532,369,69,2
18646,11680,2425,341,236,2
1843,1388,325,80,14,2
36836,5863,3242,99,108,2
38898,25848,6410,85,475,1
40236,16929,3404,345,372,1
36756,14118,3028,100,110,2
44953,19686,1736,639,357,1
32390,5420,3801,501,178,2
42774,21941,4762,425,112,2
40490,16370,1141,622,433,1
8863,17333,4669,147,386,1
41414,30212,6337,123,57,2
26971,24351,2892,316,374,1
36421,25838,4991,565,375,1
21825,5954,3555,44,423,1
46910,20633,5723,479,342,2
34129,3652,5941,634,141,2
29357,27732,4281,210,72,2
45691,18212,2597,210,72,2
14469,16568,4879,152,128,2
48205,11118,1149,316,374,1
27244,11112,2472,44,342,2
34010,11453,5903,392,438,1
16686,11448,5948,17,176,2
29609,28102,2013,143,395,1
26125,24238,3508,76,291,2
26720,28416,1686,156,382,1
3675,530,558,69,428,1
976,3452,205,54,389,1
2853,1327,246,65,278,2
22147,19534,3790,47,183,2
24744,30294,859,383,359,1
41304,20995,1632,453,382,1
7100,13934,5835,244,411,1
28349,27351,2581,93,4,2
36278,8254,5527,215,365,1
19038,20272,3197,271,92,2
5063,691,205,54,389,1
22216,12861,5025,416,380,1
33639,22954,4440,593,386,1
45553,21616,6153,299,452,1
39600,18775,6047,554,403,1
17232,29362,4179,210,72,2
24460,24647,2725,349,453,1
8478,24848,6326,643,365,1
17287,7244,4989,108,39,2
28275,28801,5915,639,32,2
5747,1896,105,80,14,2
49918,17712,2772,618,53,2
23714,30854,2884,554,403,1
43361,10022,3277,576,464,1
39581,27727,13,57,397,1
30921,12491,1007,27,269,2
20684,14848,5502,231,382,1
27461,8967,1563,88,133,2
22346,21875,5095,602,439,1
46292,6773,753,183,230,2
27206,8800,1711,354,279,2
34060,16242,5804,231,382,1
32592,22087,1120,569,79,2
37702,20705,4206,477,382,1
22497,19814,3837,257,245,2
21939,16451,6098,639,357,1
25480,28009,1981,136,469,1
13033,4670,1664,20,219,2
22273,14608,5476,583,405,1
16351,25492,4814,119,99,2
37249,9570,3868,330,7,2
15462,24624,2623,99,108,2
7053,4117,1692,656,143,2
45411,30352,6040,657,69,2
23211,25361,966,631,374,1
3409,1577,139,10,434,1
6508,2594,73,54,389,1
2438,147,460,3,465,1
51316,11581,4255,649,441,1
40119,10583,6612,494,382,1
26321,7880,849,424,395,1
8500,17396,4744,371,386,1
6193,1061,131,54,389,1
44104,13904,1940,477,382,1
33959,28004,2031,77,277,2
15144,10305,1847,479,427,1
2461,58,205,54,389,1
18293,10572,861,316,374,1
1847,3309,139,10,434,1
18262,11078,4228,244,412,1
37483,29505,4460,479,423,1
48597,5084,6288,477,382,1
19171,13943,2428,231,382,1
37366,29214,2276,316,374,1
38309,29856,1598,151,357,1
39955,5514,6861,408,16,2
4181,2343,655,69,428,1
31366,3660,2127,494,382,1
15536,29781,5535,225,57,2
23996,15389,2376,93,4,2
33332,18155,1912,231,382,1
45225,23546,2989,93,376,1
40881,8416,1092,405,10,2
28379,4909,3893,345,372,1
6279,127,139,10,434,1
7077,3968,4430,453,382,1
23466,23155,1702,649,441,1
37558,28873,5885,624,471,1
44686,16140,1354,77,277,2
17691,6722,3970,93,4,2
32235,22464,1267,414,6,2
39068,19604,6201,405,10,2
39504,23190,5985,422,126,2
6760,24216,2292,250,332,2
23361,28785,1015,613,3,2
49266,25161,6861,408,16,2
45121,27586,4814,119,99,2
32768,26152,3598,165,478,1
43518,10961,6289,405,10,2
15198,5203,6494,588,9,2
31929,20808,4228,244,412,1
39096,23665,2877,136,471,1
49730,17584,2202,224,463,1
26361,9027,3980,123,57,2
43222,9961,2573,93,376,1
1941,2709,662,60,68,2
13825,29260,4521,268,373,1
24068,21745,4349,206,245,2
26575,10676,5918,535,87,2
3355,218,28,8,84,2
41112,6171,4011,576,423,1
22370,19689,1453,405,10,2
7451,15027,6032,453,382,1
9613,24710,2884,554,403,1
41650,30048,1102,76,291,2
49522,20073,6755,123,282,2
19708,25719,2573,93,376,1
50237,29761,1627,397,192,2
33748,6188,1192,307,15,2
27083,15591,2370,244,454,1
10781,9663,4390,588,9,2
10910,17840,2468,590,162,2
20062,8863,6539,318,438,1
2207,3164,139,10,434,1
27977,15123,2786,172,414,1
31334,28745,4595,169,9,2
40698,11407,5835,244,411,1
47816,29162,6244,200,259,2
26948,23357,841,131,374,1
49550,11527,2370,244,454,1
10590,31000,5927,121,21,2
3228,3484,217,44,421,1
12886,18182,2319,561,395,1
20032,26948,6494,588,9,2
42540,29750,1393,625,62,2
10597,27063,1372,494,382,1
4455,3319,569,54,389,1
15979,22883,3040,453,382,1
4866,2770,5,2,198,2
15251,4733,6930,582,471,1
6298,3371,205,54,389,1
12994,14610,6761,419,6,2
37562,31328,2370,244,454,1
43812,5970,4981,602,439,1
18655,4445,6252,175,401,1
43600,27429,3846,477,382,1
48850,14822,2505,640,395,1
27420,28843,6764,69,139,2
22652,23703,5269,398,94,2
1627,3446,110,73,278,2
40580,16123,5648,649,441,1
34019,8051,4436,439,357,1
12943,21413,3451,453,382,1
4202,1153,139,10,434,1
37351,22559,1420,487,357,1
3060,264,569,54,389,1
12108,20791,4491,554,403,1
13141,4179,1008,345,372,1
14793,10365,3145,190,395,1
51143,30239,5925,656,143,2
21336,18626,1884,316,374,1
5095,1530,41,63,360,1
45981,21100,3040,453,382,1
46382,7189,5974,577,306,2
6175,396,139,10,434,1
28696,18932,5816,358,212,2
29361,20485,2370,244,454,1
40650,29642,2765,631,374,1
45507,7461,5692,108,39,2
4290,1025,323,76,278,2
14112,20578,1120,569,79,2
34663,30705,5485,77,291,2
34215,29702,1869,381,3,2
29409,4373,5036,383,20,2
18847,28969,1593,201,260,2
24946,18856,6786,582,476,1
3956,3326,650,48,336,2
44925,15813,832,316,374,1
4011,3584,522,87,116,2
22353,19670,13,57,397,1
34617,24081,1568,415,215,2
4263,2523,92,57,421,1
4757,834,107,80,14,2
1413,3276,207,49,293,2
35735,16225,5331,276,287,2
31883,9930,5835,244,411,1
47612,20567,6871,354,279,2
27235,27811,4671,29,165,2
14727,31344,4662,302,305,2
427,3094,5,2,198,2
50442,29281,3860,539,297,2
27785,17980,6494,588,9,2
38129,31401,2621,398,94,2
5704,67,112,54,389,1
26517,19446,4653,57,342,2
39105,27477,5835,244,411,1
24684,30947,5068,316,374,1
29559,20673,1198,439,357,1
22345,4035,1700,135,3,2
50307,19554,4657,446,103,2
4895,795,231,87,116,2
3998,1006,131,54,389,1
10602,26668,783,299,452,1
3213,1126,64,57,421,1
43862,19150,1891,565,375,1
47372,7119,3315,249,10,2
14820,27770,2528,123,57,2
2588,3390,654,54,389,1
49596,25685,4980,520,17,2
24754,24206,6494,588,9,2
13965,18764,2122,532,378,1
7076,18122,2411,411,453,1
23698,29380,2765,631,374,1
30597,28194,6290,453,382,1
11542,12126,2472,44,342,2
19921,13993,6202,588,9,2
12646,3874,6007,172,424,1
33526,18509,1842,128,460,1
48688,19159,3147,235,440,1
48589,6076,5502,231,382,1
557,789,248,52,356,1
49075,13925,6894,383,359,1
47858,13951,1012,307,15,2
18046,14040,2440,52,35,2
11457,24927,1636,158,374,1
42425,23519,1162,316,374,1
1524,1982,569,54,389,1
39349,13859,5804,231,382,1
36616,9136,2370,244,454,1
45519,18573,992,128,296,2
24569,15340,3634,123,282,2
30370,24305,4730,470,21,2
27216,17006,6136,29,165,2
28344,5562,2647,77,263,2
14716,19936,3521,209,378,1
35515,3726,4228,244,412,1
23982,24023,6112,576,397,1
36992,30645,4390,588,9,2
49148,13068,5674,215,365,1
37410,29773,5835,244,411,1
31894,16038,6494,588,9,2
33138,10271,3643,306,352,2
2705,2898,275,73,278,2
31419,11872,2554,345,372,1
34580,14053,2252,152,128,2
46637,24083,1732,582,467,1
31838,23182,2960,147,386,1
28812,18859,5292,95,22,2
6334,3231,275,73,278,2
40634,15827,1323,316,374,1
51230,7417,4228,244,412,1
33005,19850,3719,371,313,2
39186,14816,4856,470,21,2
48556,21741,3062,88,133,2
29314,17680,6892,479,337,2
8746,5823,6919,86,219,2
48369,13370,3540,405,10,2
39455,30427,3846,477,382,1
44525,22536,2538,413,27,2
48273,16921,5941,634,141,2
44560,5209,813,548,94,2
3915,2287,139,10,434,1
12198,5805,3981,184,10,2
43308,15165,6027,405,10,2
13077,23413,5256,339,368,1
25174,14570,1256,329,282,2
16475,15942,5873,337,379,1
13700,23206,1418,498,141,2
20943,3618,6930,582,471,1
4301,2891,685,80,14,2
30514,24353,3451,453,382,1
14220,11391,2513,88,133,2
19904,7021,2415,307,15,2
46880,19344,2370,244,454,1
56,2404,131,54,389,1
17455,12173,4816,453,382,1
17535,23469,3892,652,357,1
17135,29171,3998,639,357,1
16586,31373,5742,294,378,1
4902,1197,139,10,434,1
10616,20438,3732,642,357,1
39930,27027,3868,330,7,2
46510,16880,2370,244,454,1
19538,9423,5668,141,417,1
17782,23611,5941,634,141,2
5681,2032,139,10,434,1
18295,30420,6688,588,9,2
43652,17914,2505,640,395,1
293,1316,552,54,389,1
25429,10129,6288,477,382,1
12467,27753,4722,649,441,1
40364,7920,4228,244,412,1
34419,17551,2674,582,471,1
13728,30413,6156,98,102,2
23524,16892,3408,52,35,2
29010,11863,5499,539,297,2
50170,10596,6027,405,10,2
50158,4952,5835,244,411,1
43422,10023,5738,618,53,2
2840,2863,517,69,428,1
45273,8570,1980,117,374,1
43384,16414,4454,369,69,2
6770,16014,2706,657,69,2
24395,17111,1120,569,79,2
699,2494,7,20,336,2
7202,4008,1342,318,438,1
30914,22859,5771,645,151,2
50625,24933,6494,588,9,2
20665,20455,4574,61,388,1
15314,5007,2515,373,457,1
35161,16834,2515,373,457,1
32850,21708,6014,126,213,2
51479,22769,4228,244,412,1
12941,28867,2184,231,382,1
44101,13417,5684,140,63,2
22921,18617,777,328,372,1
41877,24625,6117,375,357,1
37317,19070,5873,337,379,1
30135,18948,3843,139,45,2
5691,1258,552,54,389,1
18985,21923,5835,244,411,1
4790,1770,635,52,356,1
42731,21890,953,375,357,1
28762,19663,5516,442,342,2
20071,25006,5807,445,149,2
38865,27187,3780,328,372,1
41855,12082,5664,69,139,2
13164,7848,3068,9,37,2
18708,27104,5950,95,22,2
14227,23908,2000,565,375,1
46033,11897,1613,479,427,1
32697,14630,1386,42,257,2
7762,15895,5345,265,174,2
30747,22432,6584,471,159,2
38100,4134,5063,657,69,2
39538,14605,6261,263,46,2
13964,8808,1542,20,219,2
14306,8348,4690,250,332,2
46417,11600,5642,268,13,2
22781,5961,2370,244,454,1
16478,11178,1053,69,139,2
3603,3305,631,27,198,2
4953,2289,521,31,146,2
36738,7633,1120,569,79,2
43741,11556,882,117,374,1
30208,14827,6162,172,414,1
43742,9976,2370,244,454,1
5264,1135,552,54,389,1
28432,7538,5835,244,411,1
25498,4188,5194,331,15,2
33852,11577,4944,175,401,1
49627,22832,3353,644,3,2
31326,23551,1460,477,382,1
21799,30523,2370,244,454,1
42153,31431,5265,561,395,1
31994,13924,2370,244,454,1
22027,13981,5136,487,357,1
1502,2606,139,10,434,1
38250,3699,4912,453,382,1
23023,7108,6667,99,108,2
41302,9719,4721,479,464,1
31732,20237,2370,244,454,1
32238,18694,1912,231,382,1
20740,30656,3682,318,438,1
39778,26069,3860,539,297,2
27537,11580,6136,29,165,2
39590,11077,4295,316,374,1
17741,7822,5323,115,58,2
19684,24835,2371,345,372,1
3239,3126,552,54,389,1
8772,30456,4533,546,270,2
50991,19237,2358,57,397,1
14503,6110,5873,337,379,1
51631,10439,2540,657,69,2
26317,19461,3873,272,404,1
37996,8208,3482,285,277,2
4893,401,361,91,84,2
29917,22153,1476,655,170,2
28175,9600,2370,244,454,1
49137,26997,1060,373,457,1
46862,30439,4873,618,53,2
40898,11728,2370,244,454,1
45836,30544,702,2,272,2
16665,18828,4533,546,270,2
9196,24902,6584,471,159,2
34078,21310,6120,184,10,2
10194,9334,5835,244,411,1
45448,25469,1333,479,342,2
12372,4166,6774,385,440,1
42418,21056,958,576,397,1
21332,23465,6911,184,10,2
12505,7215,6438,86,234,2
49065,23763,6598,421,228,2
11687,20782,6245,172,429,1
23768,30956,4228,244,412,1
27247,16378,3451,453,382,1
47528,20532,4533,546,270,2
13785,13468,3466,657,69,2
41813,22094,2745,266,41,2
44028,27129,4200,398,94,2
8784,8054,4981,602,439,1
22969,25312,5331,276,287,2
5001,2252,625,57,421,1
30123,29852,4788,357,119,2
20338,21710,6289,405,10,2
39448,21654,1827,520,17,2
44339,22517,3315,249,10,2
10336,12946,6494,588,9,2
46416,7245,1273,57,397,1
2669,310,569,54,389,1
39980,9379,6288,477,382,1
4186,343,139,10,434,1
4888,1544,240,8,84,2
34131,10694,4390,588,9,2
9780,14501,6146,624,471,1
5491,2642,654,54,389,1
1232,225,654,54,389,1
34861,29771,2674,582,471,1
5860,126,552,54,389,1
26597,17769,722,392,438,1
15800,14072,3980,123,282,2
30557,23966,2411,411,453,1
36029,6547,5486,186,164,2
17307,19890,6136,29,165,2
24248,21922,3680,211,433,1
40377,17229,5535,225,57,2
43986,4814,4650,494,382,1
19982,13832,5835,244,411,1
29475,31385,3873,272,404,1
45660,28090,1970,479,342,2
32159,22271,1107,643,365,1
26680,14995,3155,164,372,1
46468,3627,4228,244,412,1
48162,21664,6494,588,9,2
14514,24662,6688,588,9,2
44719,8691,5502,231,382,1
37205,7701,2370,244,454,1
30721,7639,6676,639,357,1
10291,27151,5835,244,411,1
25363,11175,6494,588,9,2
1289,3117,466,76,278,2
16723,9579,4390,588,9,2
36355,7376,3932,649,441,1
37740,13733,6494,588,9,2
8595,5613,1952,417,377,1
36954,18546,3944,645,172,2
14383,27738,6584,471,159,2
12722,11276,3157,192,372,1
27502,28555,896,111,44,2
34642,9866,6503,268,373,1
9207,25918,2321,494,382,1
45126,8945,1403,335,33,2
36632,6295,4757,576,337,2
39871,21054,1981,136,469,1
8733,18259,4849,408,16,2
50031,8311,5835,244,411,1
46965,9763,6201,405,10,2
5381,179,139,10,434,1
44086,22996,6897,175,401,1
5829,1101,569,54,389,1
34812,15373,2311,356,214,2
26568,9761,1217,431,107,2
6146,1088,131,54,389,1
25841,10908,5611,642,357,1
31238,24744,5948,17,176,2
23966,4232,5835,244,411,1
47158,21860,3315,249,10,2
30690,7352,1639,197,305,2
31249,15067,4421,381,3,2
51425,13500,6494,588,9,2
27246,7453,6362,237,114,2
22638,28674,6040,657,69,2
